GroupID,GroupName,MasterCategoryID,MasterCategoryName,CategoryID,CategoryName,SubCategoryID,SubCategoryName,isSubCategory
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2320.0,Sách Tham Khảo,2250.0,Sách tham khảo cấp III,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2320.0,Sách Tham Khảo,7971.0,Sách Luyện Thi Đại Học - Cao Đẳng,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2320.0,Sách Tham Khảo,9997.0,Thẻ luyện thi,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,2320.0,Sách Tham Khảo,18372.0,Sách chuyên đề,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,897.0,Từ Điển,898.0,Từ Điển Tiếng Anh,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,897.0,Từ Điển,900.0,Từ Điển Tiếng Trung,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,897.0,Từ Điển,899.0,Từ Điển Tiếng Hàn,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,897.0,Từ Điển,901.0,Từ Điển Tiếng Nhật,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,897.0,Từ Điển,902.0,Từ Điển Tiếng Pháp,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,897.0,Từ Điển,903.0,Từ Điển Tiếng Việt,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,897.0,Từ Điển,904.0,Từ Điển Ngôn Ngữ Khác,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,873.0,Sách Kiến Thức Tổng Hợp,9733.0,Kiến Thức Bách Khoa,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,873.0,Sách Kiến Thức Tổng Hợp,886.0,Lĩnh vực khác,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,873.0,Sách Kiến Thức Tổng Hợp,7671.0,Sách Chiêm Tinh - Horoscope,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,873.0,Sách Kiến Thức Tổng Hợp,877.0,Sách giáo dục,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,873.0,Sách Kiến Thức Tổng Hợp,867.0,Sách Phong Thủy - Kinh Dịch,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,873.0,Sách Kiến Thức Tổng Hợp,9120.0,Triết Học,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,879.0,Sách Khoa Học - Kỹ Thuật,67882.0,Sách khoa học,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,879.0,Sách Khoa Học - Kỹ Thuật,67883.0,Sách kỹ thuật,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,880.0,Sách Lịch sử,9724.0,Lịch Sử Việt Nam,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,880.0,Sách Lịch sử,9725.0,Lịch Sử Thế Giới,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,881.0,Điện Ảnh - Nhạc - Họa,9727.0,Âm Nhạc - Điện Ảnh,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,881.0,Điện Ảnh - Nhạc - Họa,9728.0,Mỹ Thuật - Kiến Trúc,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,881.0,Điện Ảnh - Nhạc - Họa,4142.0,Sách Tô Màu Dành Cho Người Lớn,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,1084.0,"Truyện Tranh, Manga, Comic",1084.0,"Truyện Tranh, Manga, Comic",0.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,861.0,Sách Tôn Giáo - Tâm Linh,67978.0,Công Giáo,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,861.0,Sách Tôn Giáo - Tâm Linh,67979.0,Phật giáo,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,861.0,Sách Tôn Giáo - Tâm Linh,67980.0,Tôn Giáo - Tâm Linh Khác,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,857.0,Sách Văn Hóa - Địa Lý - Du Lịch,858.0,Sách Danh Nhân,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,857.0,Sách Văn Hóa - Địa Lý - Du Lịch,859.0,Sách Địa Danh - Du Lịch,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,857.0,Sách Văn Hóa - Địa Lý - Du Lịch,6992.0,Sách Phong Tục - Tập Quán,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,875.0,Sách Chính Trị - Pháp Lý,6993.0,Lý Luận Chính Trị,1.0
8322,Nhà Sách Tiki,316,Sách tiếng Việt,875.0,Sách Chính Trị - Pháp Lý,883.0,Luật - Văn Bản Luật,1.0
