InventoryID,ProductID,Status,Type,LastUpdated
153,251545496,available,backorder,2024-05-15 22:34:25.131965
154,198572369,available,backorder,2024-05-15 22:34:25.131965
155,248913500,available,backorder,2024-05-15 22:34:25.131965
156,274754883,available,backorder,2024-05-15 22:34:25.131965
157,203757948,available,backorder,2024-05-15 22:34:25.131965
158,201509157,available,backorder,2024-05-15 22:34:25.131965
159,274420903,available,backorder,2024-05-15 22:34:25.131965
160,253300205,available,backorder,2024-05-15 22:34:25.131965
161,225917273,available,backorder,2024-05-15 22:34:25.131965
162,193110691,available,backorder,2024-05-15 22:34:25.131965
163,273455715,available,backorder,2024-05-15 22:34:25.131965
164,201831052,available,backorder,2024-05-15 22:34:25.131965
165,189466838,available,backorder,2024-05-15 22:34:25.131965
166,155530390,available,backorder,2024-05-15 22:34:25.131965
167,273466115,available,backorder,2024-05-15 22:34:25.131965
168,127363787,available,backorder,2024-05-15 22:34:25.131965
169,225917302,available,backorder,2024-05-15 22:34:25.131965
170,271383201,available,backorder,2024-05-15 22:34:25.131965
171,189588675,available,backorder,2024-05-15 22:34:25.131965
172,273634022,available,backorder,2024-05-15 22:34:25.131965
173,214961090,available,backorder,2024-05-15 22:34:25.131965
174,271365172,available,backorder,2024-05-15 22:34:25.131965
175,225917335,available,backorder,2024-05-15 22:34:25.131965
176,213774142,available,backorder,2024-05-15 22:34:25.131965
177,273647623,available,backorder,2024-05-15 22:34:25.131965
178,249947165,available,backorder,2024-05-15 22:34:25.131965
179,273502975,available,backorder,2024-05-15 22:34:25.131965
180,225917244,available,backorder,2024-05-15 22:34:25.131965
181,225917247,available,backorder,2024-05-15 22:34:25.131965
182,273523458,available,backorder,2024-05-15 22:34:25.131965
183,273494497,available,backorder,2024-05-15 22:34:25.131965
184,273534234,available,backorder,2024-05-15 22:34:25.131965
185,248913699,available,backorder,2024-05-15 22:34:25.131965
186,273534939,available,backorder,2024-05-15 22:34:25.131965
187,195891105,available,backorder,2024-05-15 22:34:25.131965
188,252172447,available,backorder,2024-05-15 22:34:25.131965
189,248912576,available,backorder,2024-05-15 22:34:25.131965
190,273455506,available,backorder,2024-05-15 22:34:25.131965
191,274556325,available,backorder,2024-05-15 22:34:25.131965
192,198593129,available,backorder,2024-05-15 22:34:25.131965
193,225917341,available,backorder,2024-05-15 22:34:25.131965
194,195901063,available,backorder,2024-05-15 22:34:25.131965
195,273534544,available,backorder,2024-05-15 22:34:25.131965
196,273670014,available,backorder,2024-05-15 22:34:25.131965
197,204873949,available,backorder,2024-05-15 22:34:25.131965
198,189387430,available,backorder,2024-05-15 22:34:25.131965
199,205996665,available,backorder,2024-05-15 22:34:25.131965
200,225917301,available,backorder,2024-05-15 22:34:25.131965
201,251546905,available,backorder,2024-05-15 22:34:25.131965
202,216469746,available,backorder,2024-05-15 22:34:25.131965
203,216469489,available,backorder,2024-05-15 22:34:25.131965
204,208679570,available,backorder,2024-05-15 22:34:25.131965
205,210941899,available,backorder,2024-05-15 22:34:25.131965
206,214949297,available,backorder,2024-05-15 22:34:25.131965
207,273332620,available,backorder,2024-05-15 22:34:25.131965
208,271380888,available,backorder,2024-05-15 22:34:25.131965
209,225917249,available,backorder,2024-05-15 22:34:25.131965
210,214617998,available,backorder,2024-05-15 22:34:25.131965
211,214619946,available,backorder,2024-05-15 22:34:25.131965
212,273888066,available,backorder,2024-05-15 22:34:25.131965
213,273519091,available,backorder,2024-05-15 22:34:25.131965
214,167383382,available,backorder,2024-05-15 22:34:25.131965
215,186228376,available,backorder,2024-05-15 22:34:25.131965
216,273520631,available,backorder,2024-05-15 22:34:25.131965
217,199692559,available,backorder,2024-05-15 22:34:25.131965
218,174500984,available,backorder,2024-05-15 22:34:25.131965
219,273502836,available,backorder,2024-05-15 22:34:25.131965
220,273536862,available,backorder,2024-05-15 22:34:25.131965
221,273464318,available,backorder,2024-05-15 22:34:25.131965
222,252172436,available,backorder,2024-05-15 22:34:25.131965
223,249160543,available,backorder,2024-05-15 22:34:25.131965
224,273607610,available,backorder,2024-05-15 22:34:25.131965
225,206307542,available,backorder,2024-05-15 22:34:25.131965
226,273471481,available,backorder,2024-05-15 22:34:25.131965
227,225917343,available,backorder,2024-05-15 22:34:25.131965
228,192121325,available,backorder,2024-05-15 22:34:25.131965
229,273519102,available,backorder,2024-05-15 22:34:25.131965
230,249033052,available,backorder,2024-05-15 22:34:25.131965
231,248807159,available,backorder,2024-05-15 22:34:25.131965
232,210938279,available,backorder,2024-05-15 22:34:25.131965
233,273645720,available,backorder,2024-05-15 22:34:25.131965
234,213813597,available,backorder,2024-05-15 22:34:25.131965
235,248543177,available,backorder,2024-05-15 22:34:25.131965
236,201509070,available,backorder,2024-05-15 22:34:25.131965
237,205958937,available,backorder,2024-05-15 22:34:25.131965
238,225917303,available,backorder,2024-05-15 22:34:25.131965
239,189695021,available,backorder,2024-05-15 22:34:25.131965
240,214962289,available,backorder,2024-05-15 22:34:25.131965
241,214937721,available,backorder,2024-05-15 22:34:25.131965
242,215104482,available,backorder,2024-05-15 22:34:25.131965
243,273333335,available,backorder,2024-05-15 22:34:25.131965
244,273502869,available,backorder,2024-05-15 22:34:25.131965
245,248755613,available,backorder,2024-05-15 22:34:25.131965
246,273536581,available,backorder,2024-05-15 22:34:25.131965
247,273519841,available,backorder,2024-05-15 22:34:25.131965
248,130470405,available,backorder,2024-05-15 22:34:25.131965
249,273471824,available,backorder,2024-05-15 22:34:25.131965
250,273503169,available,backorder,2024-05-15 22:34:25.131965
251,251545386,available,backorder,2024-05-15 22:34:25.131965
252,274037754,available,backorder,2024-05-15 22:34:25.131965
253,273534843,available,backorder,2024-05-15 22:34:25.131965
254,192765349,available,backorder,2024-05-15 22:34:25.131965
255,274557094,available,backorder,2024-05-15 22:34:25.131965
256,248912686,available,backorder,2024-05-15 22:34:25.131965
257,272190026,available,backorder,2024-05-15 22:34:25.131965
258,273520821,available,backorder,2024-05-15 22:34:25.131965
259,225917331,available,backorder,2024-05-15 22:34:25.131965
260,190506909,available,backorder,2024-05-15 22:34:25.131965
261,199104980,available,backorder,2024-05-15 22:34:25.131965
262,225917354,available,backorder,2024-05-15 22:34:25.131965
263,274556222,available,backorder,2024-05-15 22:34:25.131965
264,273520502,available,backorder,2024-05-15 22:34:25.131965
265,249160304,available,backorder,2024-05-15 22:34:25.131965
266,201831003,available,backorder,2024-05-15 22:34:25.131965
267,225917274,available,backorder,2024-05-15 22:34:25.131965
268,274784696,available,backorder,2024-05-15 22:34:25.131965
269,273463558,available,backorder,2024-05-15 22:34:25.131965
270,225917228,available,backorder,2024-05-15 22:34:25.131965
271,252171302,available,backorder,2024-05-15 22:34:25.131965
272,273519388,available,backorder,2024-05-15 22:34:25.131965
273,249145135,available,backorder,2024-05-15 22:34:25.131965
274,273536792,available,backorder,2024-05-15 22:34:25.131965
275,273431022,available,backorder,2024-05-15 22:34:25.131965
276,274548121,available,backorder,2024-05-15 22:34:25.131965
277,139716070,available,backorder,2024-05-15 22:34:25.131965
