Type_ID,Type_Name,Child_ID,Child_Name,Parent_ID,Parent_Name,Group_ID,Group_Name
3898,Băng Keo - Keo Hồ - Cắt Keo,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
9601,Kéo - Dao Rọc Giấy,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
3899,Kệ Đựng Hồ Sơ,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
3900,Cắm Viết Các Loại,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
3486,Bảng viết văn phòng,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1863,Máy tính văn phòng,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
3901,Mực Các Loại,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
7992,Máy Hủy Giấy,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
18378,Phấn - Bảng viết - Lau bảng,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
24870,Con dấu,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
18380,Dụng cụ văn phòng khác,1862,Dụng Cụ Văn Phòng,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1868,Bút mực - Bút máy,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1869,Bút bi - Ruột bút bi,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1870,Bút chì - Ruột bút chì,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1872,Bút cao cấp,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1873,Bút lông kim,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1875,Bút lông bảng,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1874,Bút dạ quang,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1876,Bút sơn,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1879,Bút chuyên dụng,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
9216,Bút gel - Bút nước,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1871,Bút xóa - Xóa kéo,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
11118,Bút vẽ kỹ thuật,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
11119,Bút vẽ trên vải,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
11120,Bút viết thư pháp,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
15464,Bút viết học sinh,1858,Bút - Viết các loại,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
2539,Cọ Vẽ - Màu Nước,2538,Bút Chì Màu - Bút Lông Màu - Sáp Màu,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
4261,Chì Màu - Sáp Màu,2538,Bút Chì Màu - Bút Lông Màu - Sáp Màu,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
8934,Bút Lông Màu,2538,Bút Chì Màu - Bút Lông Màu - Sáp Màu,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
15448,Sáp - Chì màu cho bé,2538,Bút Chì Màu - Bút Lông Màu - Sáp Màu,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
3986,Bao Tập - Bao Sách,2365,Dụng Cụ Học Sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
2450,Sản Phẩm Giáo Dục Điện Tử,2365,Dụng Cụ Học Sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
1880,Bóp Viết - Hộp Bút,2365,Dụng Cụ Học Sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
2376,Bảng viết học sinh,2365,Dụng Cụ Học Sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
2456,Tập Học Sinh,2365,Dụng Cụ Học Sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
6401,Vỉ - Bộ Dụng Cụ Học Sinh,2365,Dụng Cụ Học Sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
9283,Gọt bút chì - Gôm Tẩy,2365,Dụng Cụ Học Sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
9603,Compa,2365,Dụng Cụ Học Sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
9602,Thước kẻ - Compa,2365,Dụng Cụ Học Sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
24734,Sáp nặn,2365,Dụng Cụ Học Sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
24868,Dụng cụ học sinh khác,2365,Dụng Cụ Học Sinh,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
4734,Flashcard Tiếng Anh,1910,Flashcards,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
4735,Flashcard Tiếng Nhật,1910,Flashcards,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
6105,Flashcard Tiếng Trung,1910,Flashcards,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
9176,Flashcards Cho Bé,1910,Flashcards,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
15466,Flashcard Luyện Thi Tiếng Anh,1910,Flashcards,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
18382,Flashcard Tiếng Hàn,1910,Flashcards,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
24872,Tập 4 ô ly,1907,Tập vở các loại ,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
24874,Tập 5 ô ly,1907,Tập vở các loại ,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
24876,Tập kẻ ngang,1907,Tập vở các loại ,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
2369,Đĩa Nhạc,2333,Văn Hóa Phẩm,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
11926,Bao lì xì,2333,Văn Hóa Phẩm,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
2375,Thể Loại Khác,2333,Văn Hóa Phẩm,7741,Văn phòng phẩm,8322,Nhà Sách Tiki
