CategoryID,MasterCategoryID,Name
11931.0,2307,Vớ y khoa
1633.0,2307,Băng keo cá nhân
8305.0,2307,Khẩu trang y tế
2162.0,2307,Chăm sóc mắt
68211.0,2307,"Hỗ trợ giấc ngủ, giảm ngáy"
11939.0,2307,Dụng cụ định hình
2826.0,2322,Thực phẩm chức năng làm đẹp
2827.0,2322,Thực phẩm chức năng thiên nhiên
55950.0,2322,Vitamin và Khoáng chất
56014.0,2322,Cơ xương khớp
11861.0,2322,Hỗ trợ trí não
11869.0,2322,Hỗ trợ tiêu hóa
11867.0,2322,Hỗ trợ mắt
11871.0,2322,Hỗ trợ tim mạch
11873.0,2322,Tăng cường hệ miễn dịch
11863.0,2322,Hỗ trợ tiểu đường
11875.0,2322,Thải độc cơ thể
56030.0,2322,Sinh lý - Nội tiết tố
1630.0,8142,Bao cao su
1631.0,8142,Gel bôi trơn
1627.0,1625,Nước súc miệng
11833.0,1625,Bàn chải đánh răng
11835.0,1625,Kem đánh răng
11837.0,1625,Tẩy trắng răng
10228.0,1625,Bộ sản phẩm chăm sóc răng miệng
1626.0,1625,Thiết bị chăm sóc răng
68329.0,1625,Sản phẩm làm sạch lưỡi
68330.0,1625,"Xịt, miếng ngậm thơm miệng"
11878.0,8597,Xe tay ga
11882.0,8597,Xe số
11884.0,8597,Xe côn tay
11888.0,8597,Xe mô tô
13100.0,8597,Xe 50cc
37596.0,8597,Phiếu mua xe mô tô
37598.0,8597,Phiếu mua xe máy
6072.0,6070,Xe máy điện
6071.0,6070,Xe đạp điện
11890.0,6070,Xe thăng bằng
6073.0,6070,Phụ kiện xe điện
8435.0,6070,Xe Scooter điện
11892.0,8431,Xe đạp thể thao
11894.0,8431,"Xe đạp thời trang, thông dụng"
11896.0,8431,Xe đạp thể thao đường phố
11898.0,8431,Xe đạp đua
11900.0,8431,Xe đạp gấp
11914.0,8431,Xe đạp Fixed Gear
11902.0,8431,Xe đạp trẻ em
24376.0,8431,Xe đạp thể thao khác
24372.0,8431,Xe đạp địa hình
68638.0,8431,Xe đạp đôi
68639.0,8431,Xe đạp một bánh
68640.0,8431,Khung sườn xe đạp
37600.0,8595,Sedan
37606.0,8595,SUV
37676.0,8595,CUV
37608.0,8595,MPV
37610.0,8595,Hatchback
37612.0,8595,Bán tải
37614.0,8595,Mini van
37616.0,8595,Xe thể thao
37618.0,8595,Xe mui trần
37620.0,8595,Limousine
37622.0,8595,Xe tải
37624.0,8595,Xe khách
37626.0,8595,Xe chuyên dụng
37628.0,8595,Phiếu đặt cọc xe ô tô
37630.0,8595,Phiếu mua xe ô tô từ 200 triệu trở lên
37632.0,8595,Phiếu mua xe ô tô dưới 200 triệu
37634.0,8595,Các dòng ô tô khác
54698.0,8595,Ô tô điện
11906.0,24832,Mũ bảo hiểm
6061.0,24832,Phụ kiện xe máy
45476.0,24832,Phụ tùng xe máy
45498.0,24832,Chăm sóc xe máy
45522.0,24832,Đồ bảo hộ đi xe
11904.0,24832,Phụ kiện - Đồ nghề xe đạp
6045.0,24832,Phụ kiện ô tô
45606.0,24832,Máy rửa xe
6052.0,24832,Phụ tùng ô tô
24362.0,24832,Chăm sóc ô tô
17224.0,17208,Lắp đặt mâm lốp
17226.0,17208,"Lắp đặt phụ tùng, phụ kiện"
23116.0,17208,Dịch vụ sơn xe
23118.0,17208,"Dịch vụ bảo trì, sửa chữa"
27582.0,941,Đầm Dáng Xòe
27580.0,941,Đầm dáng ôm
27584.0,941,Đầm suông
5344.0,941,Đầm công sở
5346.0,941,Đầm dự tiệc
5345.0,941,Đầm maxi
67211.0,941,Đầm Jumpsuit
67213.0,941,Đầm hai dây
67214.0,941,Đầm chữ A
67216.0,941,Đầm yếm
67217.0,941,Đầm Baby Doll
67218.0,941,Đầm trễ vai
5407.0,5404,Chân váy dài
5406.0,5404,Chân váy ngắn
5408.0,5404,Chân váy xếp li
49288.0,5404,Chân váy bút chì
49290.0,5404,Chân váy chữ A
5405.0,5404,Chân váy công sở
1701.0,27600,Quần jean nữ
939.0,27600,Quần shorts nữ
938.0,27600,Quần tây nữ
49346.0,27600,Quần ống rộng nữ
49348.0,27600,Quần baggy nữ
1716.0,27600,Quần legging - tregging nữ
49350.0,27600,Quần yếm
67166.0,27600,Quần kaki nữ
27594.0,936,Áo cardigan nữ
27588.0,936,"Áo vest, blazer nữ"
27598.0,936,Áo len - Áo khoác nỉ nữ
49352.0,936,Áo khoác jeans nữ
27596.0,936,Áo khoác dạ nữ
49354.0,936,Áo khoác chống nắng nữ
49356.0,936,Áo khoác phao nữ
49358.0,936,Áo khoác da nữ
49360.0,936,Áo khoác bomber jackets
67225.0,936,Áo khoác gió nữ
67226.0,936,Áo hoodies nữ
49362.0,1702,Áo liền quần
49364.0,1702,Bộ trang phục
10385.0,1702,Áo dài
49366.0,4553,Đồ gia đình
49368.0,4553,Áo đôi
49374.0,49372,Đầm bầu
49376.0,49372,Áo bầu
49378.0,49372,Quần bầu
49380.0,49372,Bộ đồ bầu
49382.0,49372,Đồ lót bầu
67150.0,49384,Thời trang nữ trung niên khác
67151.0,49384,Chân váy nữ trung niên
