SubCategoryID,CategoryID,Name
2375.0,2333,Thể Loại Khác
,6210,
,5674,
1923.0,2452,Máy tính điện tử để bàn
1925.0,2452,Máy tính bỏ túi
1922.0,2452,Máy Tính Khoa Học
4645.0,2452,Phụ Kiện Trang Trí Máy Tính
4313.0,3892,Lịch Bloc
4315.0,3892,Sổ Agenda
4314.0,3892,Lịch Bàn
3893.0,3892,Lịch Tờ - Lịch Lò Xo
,16458,
18390.0,2368,Giấy các loại
18388.0,2368,Hộp và thùng lưu trữ
67405.0,2368,Giấy in
18400.0,18398,Bàn cắt giấy
18402.0,18398,Máy đóng gáy lò xo
18404.0,18398,Máy ép plastic
18406.0,18398,Thiết bị văn phòng khác
67393.0,18378,Bảng con học sinh
67394.0,18378,Bảng Flipchart
67395.0,18378,Bảng Ghim - Bảng treo tường
67396.0,18378,Bảng từ trắng viết bút lông
67397.0,18378,Bảng xanh viết phấn
67398.0,18378,Lau bảng
67399.0,18378,Phấn viết bảng
,4624,
67407.0,6225,Bookmark giấy
67408.0,6225,Bookmark kim loại
67409.0,6225,Bookmark nhựa
,6541,
,18330,
68194.0,8264,Album ảnh dán
68195.0,8264,Album sưu tầm
68201.0,8264,Photo Album
,18332,
,18334,
,6246,
,6226,
,18346,
,6215,
,8265,
,6212,
,6213,
67414.0,6214,Style cổ điển
67415.0,6214,Style hiện đại
67416.0,18342,Đồ decor nhà cửa
67417.0,18342,Giấy rơm lót hộp quà
67418.0,18342,Hạt xốp lót hộp quà
67419.0,18342,Mô hình trang trí
67420.0,18342,Phụ kiện - vật liệu trang trí - khác
67421.0,18342,Trang trí giáng sinh
67422.0,18342,Trang trí sinh nhật
67423.0,18342,Trang trí Tết
,18344,
,25706,
68203.0,68202,Khung để bàn
68204.0,68202,Khung treo tường
68206.0,68205,Thiệp chúc mừng
68207.0,68205,Thiệp mời
,68208,
,1934,
2225.0,23128,Hộp đựng thực phẩm
23134.0,23128,Màng bọc thực phẩm
6948.0,23128,"Hũ, lọ đựng gia vị"
23136.0,23128,Rổ
9052.0,23128,Thau
11812.0,23128,Khay
68031.0,23128,Túi đựng thực phẩm
68032.0,23128,Túi hút chân không thực phẩm
68033.0,23128,Túi zip đựng thực phẩm
23130.0,23128,Thùng đá
2511.0,8319,Dao các loại
23154.0,8319,Kệ để dao
3216.0,8319,Dụng cụ Cắt-Gọt-Bào
4342.0,8319,Dụng cụ mài dao
27256.0,8319,Kéo các loại
23140.0,8319,Dao thái
23142.0,8319,Dao chặt/ phay
23148.0,8319,Dao lọc xương
23146.0,8319,Dao gọt tỉa
23144.0,8319,Dao bánh mì
23152.0,8319,Dao khắc
